County,Average of Unemployment Monthly,Sum of Households,Sum of Persons,Sum of EBT Cash,Sum of Cases,Sum of Deaths,2019 Census Pop,Rate Of Infection,Rate of Death
Alameda,0.084428571,1101422,1838639,228188883,321021,4948,1671329,0.192075289,0.002960518
Alpine,0.110642857,993,1628,186371,272,0,1129,0.240921169,0
Amador,0.089857143,19852,34022,4453596,10604,158,39752,0.266753874,0.003974643
Butte,0.089285714,247090,408275,50802411,41739,580,219186,0.190427308,0.002646154
Calaveras,0.077214286,40857,70474,8902893,6348,130,45905,0.13828559,0.002831936
Colusa,0.165357143,12452,25419,2941195,8056,59,21547,0.373880355,0.0027382
Contra Costa,0.085785714,568920,1035354,129476190,247295,2671,1153526,0.214381817,0.002315509
Del Norte,0.094142857,43999,78317,9149026,3576,14,27812,0.128577592,0.00050338
El Dorado,0.081285714,101812,163038,20862927,29695,209,192843,0.153985366,0.001083783
Fresno,0.1125,1383558,3581392,358854819,393772,4980,999101,0.39412632,0.004984481
Glenn,0.160642857,23376,46682,5455070,9633,78,28393,0.339273765,0.002747156
Humboldt,0.079071429,186718,291178,40386935,10503,127,135558,0.07747975,0.000936868
Imperial,0.211357143,255703,551386,65531916,145274,3171,181215,0.801666529,0.017498551
Inyo,0.075857143,15179,27491,3485696,3851,146,18039,0.2134819,0.008093575
Kern,0.127857143,1051046,2249332,283239156,429970,3681,900202,0.477637241,0.004089082
Kings,0.117,163461,343055,41425669,100711,912,152940,0.658500065,0.005963123
Lake,0.095571429,106836,177168,21450192,10538,147,64386,0.163669121,0.002283105
Lassen,0.073428571,25036,44876,5637287,20904,47,30573,0.683740555,0.001537304
Los Angeles,0.130571429,10729649,18390156,2413142280,4661814,85511,10039107,0.464365406,0.008517789
Madera,0.107642857,172501,390589,48749561,62581,813,157327,0.397776605,0.005167581
Marin,0.062428571,112964,172807,23564692,71021,1090,258826,0.274396699,0.004211323
Mariposa,0.103357143,19830,33222,4136050,1476,28,17203,0.085798989,0.001627623
Mendocino,0.086357143,99167,169826,21841929,14651,196,86749,0.168889555,0.002259392
Merced,0.123857143,349377,738995,92142489,118590,1668,277680,0.42707433,0.006006914
Modoc,0.0915,10631,19536,2268932,1040,9,8841,0.117633752,0.001017984
Mono,0.122214286,6973,11253,1503487,4526,26,14444,0.313348103,0.001800055
Monterey,0.116071429,283303,585064,75937841,161577,1200,434061,0.372244915,0.002764588
Napa,0.082571429,54170,95208,11413180,32671,226,137744,0.237186375,0.001640725
Nevada,0.079571429,67158,105566,14742374,13468,232,99755,0.135010776,0.002325698
Orange,0.084214286,1788682,3243473,401443196,976937,15172,3175692,0.307629644,0.004777541
Placer,0.072214286,131740,215993,26121203,72276,808,398329,0.181447999,0.002028474
Plumas,0.116,18682,31530,3933718,1975,13,18807,0.10501409,0.000691232
Riverside,0.098142857,1786802,3544543,452601902,1074629,15368,2470546,0.434976317,0.006220487
Sacramento,0.091,1612965,3107683,387161678,364271,5629,1552058,0.234701925,0.003626797
San Benito,0.099785714,35891,71334,9060617,21593,199,62808,0.343793784,0.003168386
San Bernardino,0.0935,2228890,4556668,583889989,1066821,10684,2180085,0.489348351,0.004900726
San Diego,0.088,2561627,4551854,550728476,930397,12094,3338330,0.278701327,0.003622769
San Francisco,0.0745,783340,1097398,126767852,151807,1581,881549,0.172204835,0.001793434
San Joaquin,0.114,680310,1371601,168169472,276370,4605,762148,0.362619859,0.006042134
San Luis Obispo,0.074214286,149715,240893,29947227,67582,607,283111,0.238712025,0.002144035
San Mateo,0.065714286,214399,372110,46202500,154553,2089,766573,0.201615502,0.002725116
Santa Barbara,0.080785714,346565,612575,79548128,127737,1425,446499,0.286085747,0.003191497
Santa Clara,0.066857143,811062,1348532,166828884,290620,4212,1927852,0.150748086,0.002184815
Santa Cruz,0.094714286,234602,373274,49460686,50033,489,273213,0.183128182,0.001789812
Shasta,0.087,201150,340026,39057425,38348,525,180080,0.2129498,0.002915371
Sierra,0.082714286,2387,3661,415910,152,0,3005,0.050582363,0
Siskiyou,0.101714286,57806,104270,12452990,5792,40,43539,0.133030157,0.000918717
Solano,0.092571429,345671,595714,74197334,112721,744,447643,0.251810036,0.001662039
Sonoma,0.075071429,263433,424722,52295273,113175,1289,494336,0.228943472,0.002607538
Stanislaus,0.107214286,532511,1027495,125750419,229638,4005,550660,0.417023209,0.00727309
Sutter,0.115285714,79294,163880,20320578,33191,295,96971,0.342277588,0.003042147
Tehama,0.089857143,73446,137935,15640578,15653,178,65084,0.240504579,0.002734927
Trinity,0.082142857,15405,24986,3564280,1029,14,12285,0.083760684,0.001139601
Tulare,0.134642857,700397,1548357,195182219,210330,3244,466195,0.45116314,0.006958462
Tuolumne,0.099785714,44830,69508,8333684,12324,148,54478,0.226219758,0.002716693
Ventura,0.083,511552,998060,119696542,256436,2438,846006,0.30311369,0.002881776
Yolo,0.075357143,168416,269611,38371931,48416,791,220500,0.219573696,0.003587302
Yuba,0.107928571,100404,198299,23832585,21107,129,78668,0.268304774,0.001639803
